date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:06	30544/30544	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jun%202018%2016:26:07%20GMT	http://combo-taylong.fastbuy.biz/robots.txt		(from )
23:26:07	279601/279601	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Jun%202018%2016:26:07%20GMT	http://combo-taylong.fastbuy.biz/	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/combo-taylong.fastbuy.biz/index.html	(from )
23:26:08	279601/279601	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jun%202018%2016:26:09%20GMT	http://combo-taylong.fastbuy.biz/s500x350/5b026c1631c8298e7b5d0afc/logo-1526931670.png	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/combo-taylong.fastbuy.biz/s500x350/5b026c1631c8298e7b5d0afc/logo-1526931670.png	(from http://combo-taylong.fastbuy.biz/)
23:26:08	87386/87386	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:39%20GMT	https://static.ladipage.net/s650x550/5b026c1631c8298e7b5d0afc/102797396-1527067170.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s650x550/5b026c1631c8298e7b5d0afc/102797396-1527067170.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:08	71802/71802	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jun%202018%2003:57:37%20GMT	https://static.ladipage.net/s650x550/5b026c1631c8298e7b5d0afc/198459449-1527067170.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s650x550/5b026c1631c8298e7b5d0afc/198459449-1527067170.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:17	75138/75138	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:39%20GMT	https://static.ladipage.net/s650x550/5b026c1631c8298e7b5d0afc/789869497-1527067170.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s650x550/5b026c1631c8298e7b5d0afc/789869497-1527067170.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:19	47566/47566	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:43%20GMT	https://static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/5-1526985814.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/5-1526985814.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:24	76776/76776	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:40%20GMT	https://static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/6-1526985816.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/6-1526985816.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:25	32091/32091	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:40%20GMT	https://static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/1-1526983902.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/1-1526983902.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:27	51526/51526	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jun%202018%2007:51:23%20GMT	https://static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/15_1-1526983929.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s550x550/5b026c1631c8298e7b5d0afc/15_1-1526983929.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:37	251852/251852	---M--	200	added ('OK')	image/png	etag:%225b182497-3d7cc%22	http://combo-taylong.fastbuy.biz/assets/img/sp.png	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/combo-taylong.fastbuy.biz/assets/img/sp.png	(from http://combo-taylong.fastbuy.biz/)
23:26:37	107316/107316	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jun%202018%2003:57:37%20GMT	https://static.ladipage.net/s800x800/5b026c1631c8298e7b5d0afc/9-1526983965.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s800x800/5b026c1631c8298e7b5d0afc/9-1526983965.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:37	192541/192541	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:40%20GMT	https://static.ladipage.net/s800x800/5b026c1631c8298e7b5d0afc/feedback-fb-1527068831.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s800x800/5b026c1631c8298e7b5d0afc/feedback-fb-1527068831.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:37	369437/369437	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:39%20GMT	https://static.ladipage.net/s1440x1150/5b026c1631c8298e7b5d0afc/header-1526931112.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s1440x1150/5b026c1631c8298e7b5d0afc/header-1526931112.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:37	92784/92784	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Apr%202018%2018:23:36%20GMT	https://static.ladipage.net/s1440x750/57b167c9ca57d39c18a1c57c/linedpaper.png	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s1440x750/57b167c9ca57d39c18a1c57c/linedpaper.png	(from http://combo-taylong.fastbuy.biz/)
23:26:37	460935/460935	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Apr%202018%2007:17:53%20GMT	https://static.ladipage.net/s1440x950/57b167c9ca57d39c18a1c57c/bg-testimonial-230386.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s1440x950/57b167c9ca57d39c18a1c57c/bg-testimonial-230386.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:37	50147/50147	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-aj-t9oUmfGjXm%22	https://static.ladipage.net/s1440x950/57b167c9ca57d39c18a1c57c/subscription-bg.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s1440x950/57b167c9ca57d39c18a1c57c/subscription-bg.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:38	917389/917389	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:42%20GMT	https://static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/chong-lao-hoa-1526982111.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/chong-lao-hoa-1526982111.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:38	749210/749210	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:43%20GMT	https://static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/duoi-chuot-gian-1526982311.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/duoi-chuot-gian-1526982311.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:38	843169/843169	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:43%20GMT	https://static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/duong-moi-1526982328.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/duong-moi-1526982328.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:38	893674/893674	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:41%20GMT	https://static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/duong-toc-1526982340.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/duong-toc-1526982340.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:39	1060328/1060328	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:43%20GMT	https://static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/nha-nang-1526982356.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/nha-nang-1526982356.jpg	(from http://combo-taylong.fastbuy.biz/)
23:26:39	677426/677426	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2014:01:42%20GMT	https://static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/tay-trang-1526982365.jpg	E:/MMO/Adflex/Website/adflexsite/product/landingpage_umiha/static.ladipage.net/s900x1050/5b026c1631c8298e7b5d0afc/tay-trang-1526982365.jpg	(from http://combo-taylong.fastbuy.biz/)
