date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:58	90157/90157	---M--	200	added ('OK')	text/html	etag:%221527911738%22	https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post	E:/MMO/Adflex/TestLandingPost/www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post.html	(from )
20:35:58	2507/2507	---M--	200	added ('OK')	text/plain	date:Sun,%2003%20Jun%202018%2013:36:00%20GMT	https://www.wordstream.com/robots.txt		(from )
20:35:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2003%20Jun%202018%2013:36:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/MMO/Adflex/TestLandingPost/www.googletagmanager.com/gtm.25445.delayed	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:02	15830/15830	---M--	200	added ('OK')	image/png	etag:%22e2925a2faf98edd209dd1714f56ab5e8%22	https://wordstream-files-prod.s3.amazonaws.com/s3fs-public/images/media/images/blog_header_narrow.png	E:/MMO/Adflex/TestLandingPost/wordstream-files-prod.s3.amazonaws.com/s3fs-public/images/media/images/blog_header_narrow.png	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:02	5462/5462	---M--	200	added ('OK')	image/jpeg	etag:%2206cddab04b21e3ce85e40fadad93e74c%22	https://wordstream-files-prod.s3.amazonaws.com/s3fs-public/pictures/picture-9402-1465336361.jpg	E:/MMO/Adflex/TestLandingPost/wordstream-files-prod.s3.amazonaws.com/s3fs-public/pictures/picture-9402-1465336361.jpg	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:07	35895/35895	---M--	200	added ('OK')	image/jpeg	etag:%221f06b6c2d3d90bbf49bb1624b33d1f52%22	https://wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-student-driver.jpg?35wbQWXraummxctqFP22GBP2NaX0ji7X&itok=hzcNEnmL	E:/MMO/Adflex/TestLandingPost/wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-student-driver905a.jpg	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:19	1152637/1152637	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2003%20Jun%202018%2013:36:00%20GMT	http://cdn.omniconvert.com/js/718fb9.js	E:/MMO/Adflex/TestLandingPost/cdn.omniconvert.com/js/718fb9.js	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:20	197967/197967	---M--	200	added ('OK')	image/png	etag:%22d043523f41fb3cc20b5a543856a1c9bc%22	https://wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-planning1.png?JmwaxS86md5H.fz_1EyZMCS9qp7e7kd3&itok=Ahcfco6S	E:/MMO/Adflex/TestLandingPost/wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-planning1577a.png	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:22	101328/101328	---M--	200	added ('OK')	image/jpeg	etag:%22e86be51310b479e08476612fb561d791%22	https://wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-funny-wikipedia.jpg?iZI29NgSUqEKtqwflnuR_RCrluWtCoVU&itok=PwaYopXt	E:/MMO/Adflex/TestLandingPost/wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-funny-wikipedia4291.jpg	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
20:36:22	32318/32318	---M--	200	added ('OK')	image/jpeg	etag:%22b5b95d69c35823cb8e54ffa4108e1aae%22	https://wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-steve-jobs-powerpoint.jpg?JaBEEEFNu_NexXR9T38O_i7BQDKedjk.&itok=MKd_mK9A	E:/MMO/Adflex/TestLandingPost/wordstream-files-prod.s3.amazonaws.com/s3fs-public/styles/simple_image/public/images/how-to-write-a-blog-post-steve-jobs-powerpointbb35.jpg	(from https://www.wordstream.com/blog/ws/2015/02/09/how-to-write-a-blog-post)
